Liebe	O
Seele	Person
!	O
Ich	O
muss	O
in	O
25	O
Minuten	O
aus	O
dem	O
Haus	O
,	O
wundre	O
Dich	O
also	O
nicht	O
wenn	O
der	O
Brief	O
ohne	O
Schluß	O
bleibt	O
.	O
(	O
Leo	Person
hat	O
mich	O
naiverweise	O
zum	O
Rennen	O
einge	O
-	O
laden	O
,	O
da	O
ich	O
ihn	O
aber	O
sprechen	O
muß	O
,	O
muß	O
ich	O
dort	O
sein	O
wo	O
er	O
mich	O
treffen	O
wollte	O
.	O
)	O
—	O
Ich	O
kann	O
auf	O
Deinen	O
Brief	O
nur	O
erwidern	O
daß	O
Du	O
die	O
ganze	O
Sache	O
in	O
einem	O
falschen	O
Licht	O
siehst	O
.	O
Merkst	O
Du	O
denn	O
nicht	O
,	O
daß	O
wir	O
alledem	O
Rechnung	O
tragen	O
woran	O
uns	O
garnichts	O
,	O
aber	O
Andern	O
viel	O
liegt	O
.	O
Unser	O
ganzer	O
Plan	O
ist	O
auf	O
Rücksicht	O
gegen	O
meine	O
u.	O
gegen	O
D	Person
’s	O
Familie	O
,	O
d.h.	O
Frau	O
Paula	Person
und	O
die	O
Kinder	Person
gegründet	O
.	O
Wenn	O
wir	O
dem	O
Schreien	O
und	O
Ausleben	O
,	O
von	O
dem	O
Du	O
sprichst	O
,	O
nachgäben	O
,	O
nur	O
Uns	O
folgend	O
,	O
dann	O
gingen	O
wir	O
miteinander	O
in	O
die	O
Welt	O
.	O
Aber	O
wir	O
haben	O
uns	O
,	O
weiß	O
Gott	O
mit	O
blutenden	O
Herzen	O
und	O
unter	O
den	O
leidenschaftlichsten	O
Kämpfen	O
,	O
entschlossen	O
weder	O
Ap	Person
.	O
noch	O
Frau	O
Paula	Person
einen	O
schweren	O
Kummer	O
zu	O
machen	O
u.	O
haben	O
darum	O
,	O
nur	O
darum	O
auf	O
ein	O
Zu	O
-	O
sammenleben	O
verzichtet	O
.	O
Dies	O
ist	O
wohl	O
das	O
Größte	O
was	O
Menschen	O
fertig	O
bringen	O
können	O
,	O
Darf	O
ich	O
denn	O
noch	O
nach	O
Mannheim	Ort
kommen	O
??????	O
denn	O
wir	O
gehören	O
Beide	O
zu	O
den	O
absolut	O
Reue	O
-	O
losen	O
.	O
Nur	O
indem	O
wir	O
