Verehrter	O
Herr	O
Fischer	Person
!	O
Ich	O
danke	O
Ihnen	O
für	O
Ihre	O
verschiedenen	O
Mit	O
-	O
teilungen	O
.	O
Den	O
Brief	O
der	O
Revue	O
de	O
Genève	O
schicke	O
ich	O
Ihnen	O
wieder	O
zurück	O
mit	O
der	O
Bitte	O
,	O
die	O
Honorarforderun	O
in	O
diesem	O
Fall	O
ganz	O
nach	O
Ihrem	O
Dafürhalten	O
zu	O
regeln	O
.	O
Ich	O
bitte	O
aber	O
die	O
Zeitschrift	O
darauf	O
aufmerksam	O
zu	O
machen	O
,	O
dass	O
ich	O
unbedingte	O
Loyalität	O
von	O
ihr	O
erwarte	O
,	O
d.h.	O
also	O
,	O
dass	O
sie	O
nicht	O
etwa	O
nur	O
Abdruck	O
jener	O
Ste	O
len	O
bringt	O
,	O
in	O
denen	O
Dehmel	Person
sich	O
kritisch	O
über	O
Deutschland	Ort
äussert	O
.	O
Was	O
übrigens	O
Zeitschriften	O
-	O
honorar	O
anbelang	O
so	O
möchte	O
ich	O
Ihnen	O
doch	O
das	O
Folgende	O
mitteilen	O
.	O
Ich	O
habe	O
vom	O
Verlag	Organisation
Ernst	Organisation
Rowohlt	Organisation
insgesamt	O
,	O
sage	O
und	O
schreibe	O
,	O
150	O
Mk	O
.	O
bekommen	O
für	O
den	O
Abdruck	O
des	O
offene	O
Briefes	O
von	O
Dehmel	Person
und	O
den	O
Abdruck	O
eines	O
Prosa	O
-	O
Stücke	O
und	O
einiger	O
Gedichte	O
aus	O
den	O
gesammelten	Werk
Werken	Werk
.	O
(	O
insgesamt	O
7	O
1/2	O
Seiten	O
Druck	O
)	O
.	O
Ich	O
muss	O
sagen	O
,	O
dass	O
ich	O
in	O
20	O
Jahren	O
keine	O
so	O
miserable	O
Zahlung	O
erlebt	O
habe	O
.	O
Ich	O
hätte	O
am	O
liebsten	O
das	O
Geld	O
zurückgeschickt	O
,	O
wenn	O
nicht	O
meine	O
Lage	O
mir	O
eine	O
solche	O
Gebärde	O
verböte	O
.	O
Allerdings	O
die	O
Copie	O
des	O
offenen	O
Briefes	O
hat	O
über	O
einen	O
halben	O
Tag	O
Schreibmaschinenarbeit	O
gekostet	O
:	O
mehrere	O
dringende	O
Telegramme	O
sind	O
deswegen	O
an	O
Herrn	Person
Crossmann	Person
gegangen	O
,	O
und	O
dann	O
wagt	O
er	O
,	O
mir	O
eine	O
solche	O
Bagatelle	O
zu	O
schicken	O
.	O
Der	O
Gesamtausgabe	O
müsste	O
natürlich	O
die	O
“	O
schöne	Werk
wilde	Werk
Welt	Werk
”	O
angefügt	O
werden	O
,	O
noch	O
um	O
einige	O
Gedichte	O
aus	O
der	O
letzten	O
Zeit	O
vermehrt	O
,	O
ferner	O
die	O
“	O
Menschenfreunde	Werk
”	O
,	O
und	O
was	O
soll	O
mit	O
der	O
“	O
Götterkommödie	Werk
”	O
geschehen	O
?	O
Bei	O
einer	O
Gesamtausgabe	O
darf	O
sie	O
doch	O
wohl	O
nicht	O
fehlen	O
?	O
Von	O
der	O
Volksausgabe	O
habe	O
ich	O
leider	O
kein	O
Exemplar	O
hier	O
;	O
würde	O
es	O
die	O
Herausgabe	O
sehr	O
verzögern	O
oder	O
verteuern	O
,	O
wenn	O
ich	O
nach	O
meiner	O
Rückkehr	O
(	O
am	O
24	O
.	O
April	O
)	O
die	O
sehr	O
wenigen	O
Textverbesserungen	O
,	O
die	O
Dehmel	Person
zu	O
der	O
letzten	O
Ausgabe	O
in	O
sein	O
Handexemplar	O
gemacht	O
hat	O
,	O
hinzufügte	O
,	O
und	O
vor	O
allem	O
wenn	O
ich	O
die	O
wenigen	O
Gedichte	O
,	O
die	O
Dehmel	Person
noch	O
in	O
die	O
Volksausgabae	O
eingefügt	O
haben	O
wollte	O
,	O
an	O
den	O
von	O
ihm	O
bezeichne	O
-	O
ten	O
Stellen	O
einfügte	O
?	O
Wenn	O
es	O
die	O
Herausgabe	O
verzögert	O
,	O
könnten	O
wir	O
ja	O
damit	O
bis	O
zur	O
nächsten	O
Ausgabe	O
warten	O
,	O
da	O
mir	O
von	O
allen	O
Seiten	O
mitgeteilt	O
wird	O
,	O
wie	O
schade	O
es	O
ist	O
,	O
dass	O
jetzt	O
gerade	O
die	O
Volksausgabe	O
nicht	O
zu	O
kaufen	O
ist	O
.	O
Ich	O
bin	O
vom	O
15	O
.	O
bis	O
20	O
.	O
April	O
in	O
Berlin	Ort
,	O
Hotel	Organisation
Excelsior	Organisation
und	O
hoffe	O
,	O
Sie	O
und	O
ihre	O
liebe	O
,	O
verehrte	O
Frau	Person
dort	O
zu	O
sehen	O
.	O
Mit	O
besten	O
Grüssen	O
.	O
Sehr	O
geehrter	O
Herr	O
Fischer	Person
,	O
Die	O
Beantwortung	O
Ihres	O
Briefes	O
vom	O
18	O
.	O
Oktober	O
fällt	O
mir	O
nicht	O
leicht	O
,	O
denn	O
ich	O
sehe	O
einerseits	O
Ihre	O
Schwierigkeiten	O
vollkommen	O
ein	O
,	O
bin	O
aber	O
auf	O
der	O
anderen	O
Seite	O
nicht	O
in	O
der	O
Lage	O
,	O
die	O
Rechte	O
der	O
Dehmel	Person
	O
schen	O
Erben	O
preiszugeben	O
.	O
Ich	O
verhandle	O
,	O
wie	O
Sie	O
wissen	O
,	O
nicht	O
nur	O
in	O
eigener	O
Sache	O
mit	O
Ihnen	O
,	O
sondern	O
auch	O
als	O
Vertreterin	O
der	O
drei	O
Kinder	Person
Dehmels	Person
,	O
und	O
deren	O
absolutes	O
Vertrauen	O
in	O
mein	O
Verantwortungs	O
-	O
gefühl	O
ihrer	O
Lage	O
gegenüber	O
zwingt	O
mich	O
,	O
auf	O
der	O
Erfüllung	O
unserer	O
vertraglichen	O
Rechte	O
zu	O
bestehen	O
.	O
Die	O
schwierige	O
Lage	O
,	O
in	O
der	O
Sie	O
sind	O
,	O
ist	O
fraglos	O
die	O
gleiche	O
wie	O
bei	O
allen	O
Verlegern	O
.	O
Ich	O
halte	O
es	O
aber	O
für	O
ausgeschlossen	O
,	O
dass	O
darunter	O
alle	O
deutschen	O
Autoren	O
leiden	O
sollten	O
.	O
Ich	O
kann	O
mich	O
nicht	O
darauf	O
einlassen	O
,	O
dass	O
Sie	O
den	O
Briefband	O
zurückstellen	O
wollen	O
,	O
“	O
bis	O
Verhältnisse	O
eintreten	O
,	O
die	O
und	O
in	O
die	O
Lage	O
setzen	O
,	O
die	O
Herstellungskosten	O
vorher	O
festzusetzen	O
.	O
”	O
Das	O
hiesse	O
das	O
Erscheinen	O
des	O
Buches	O
begraben	O
.	O
Da	O
Sie	O
die	O
Verpflichtung	O
uebernommen	O
haben	O
,	O
den	O
Band	O
in	O
Angriff	O
zu	O
nehmen	O
,	O
sobald	O
der	O
erste	O
Band	O
seine	O
Kosten	O
